guid,title,pubDate,category,link,description
b'BILLS-116s4762es',"b'S.\xc2\xa04762\xc2\xa0(ES) - An Act To designate the airport traffic control tower located at Piedmont Triad International Airport in Greensboro, North Carolina, as the Senator Kay Hagan Airport Traffic Control Tower.'","b'Wed, 30 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116s4762es',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116s4762es/pdf/BILLS-116s4762es.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116s4762es/xml/BILLS-116s4762es.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116s4762es/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116s4762es/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116s4762es.zip"">ZIP</a>\n '"
b'BILLS-116hr4447eh',b'H.R.\xc2\xa04447\xc2\xa0(EH) - Clean Economy Jobs and Innovation Act',"b'Thu, 24 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr4447eh',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr4447eh/pdf/BILLS-116hr4447eh.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr4447eh/xml/BILLS-116hr4447eh.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr4447eh/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr4447eh/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr4447eh.zip"">ZIP</a>\n '"
b'BILLS-116hr8349ih',b'H.R.\xc2\xa08349\xc2\xa0(IH) - Hazard Pay for Essential Workers Act of 2020',"b'Tue, 22 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8349ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8349ih/pdf/BILLS-116hr8349ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8349ih/xml/BILLS-116hr8349ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8349ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8349ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8349ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8350ih',b'H.R.\xc2\xa08350\xc2\xa0(IH) - Safely Ensuring Lives Future Deployment and Research In Vehicle Evolution Act',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8350ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8350ih/pdf/BILLS-116hr8350ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8350ih/xml/BILLS-116hr8350ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8350ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8350ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8350ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8364ih',b'H.R.\xc2\xa08364\xc2\xa0(IH) - VA Fiscal Responsibility Act',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8364ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8364ih/pdf/BILLS-116hr8364ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8364ih/xml/BILLS-116hr8364ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8364ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8364ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8364ih.zip"">ZIP</a>\n '"
b'BILLS-116hres1177ih',"b'H. Res.\xc2\xa01177\xc2\xa0(IH) - Honoring the life and achievement of John Robert Thompson Jr., the legendary Georgetown University men\xe2\x80\x99s basketball coach.'","b'Fri, 02 Oct 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hres1177ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1177ih/pdf/BILLS-116hres1177ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1177ih/xml/BILLS-116hres1177ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1177ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1177ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1177ih.zip"">ZIP</a>\n '"
b'BILLS-116hr5179rh',b'H.R.\xc2\xa05179\xc2\xa0(RH) - Tribal Wildlife Corridors Act of 2019',"b'Fri, 09 Oct 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr5179rh',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr5179rh/pdf/BILLS-116hr5179rh.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr5179rh/xml/BILLS-116hr5179rh.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr5179rh/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr5179rh/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr5179rh.zip"">ZIP</a>\n '"
b'BILLS-116hr2795rh',b'H.R.\xc2\xa02795\xc2\xa0(RH) - Wildlife Corridors Conservation Act of 2019',"b'Fri, 09 Oct 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr2795rh',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr2795rh/pdf/BILLS-116hr2795rh.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr2795rh/xml/BILLS-116hr2795rh.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr2795rh/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr2795rh/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr2795rh.zip"">ZIP</a>\n '"
b'BILLS-116hres1189ih',b'H. Res.\xc2\xa01189\xc2\xa0(IH) - Expressing support for the designation of the second Monday in October 2020 as Indigenous Peoples\xe2\x80\x99 Day to celebrate and honor Indigenous Peoples and their shared history and culture.',"b'Fri, 09 Oct 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hres1189ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1189ih/pdf/BILLS-116hres1189ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1189ih/xml/BILLS-116hres1189ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1189ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1189ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1189ih.zip"">ZIP</a>\n '"
b'BILLS-116hres1187ih',b'H. Res.\xc2\xa01187\xc2\xa0(IH) - Congratulating the Seattle Storm women\xe2\x80\x99s basketball team on winning the 2020 Women\xe2\x80\x99s National Basketball Association championship.',"b'Fri, 09 Oct 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hres1187ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1187ih/pdf/BILLS-116hres1187ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1187ih/xml/BILLS-116hres1187ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1187ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hres1187ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hres1187ih.zip"">ZIP</a>\n '"
